ID,display,alpha_2,db_value,sort_factor,english_name
"bTWjp","srd","sc","srd","139","Sardinian"
"bTWjq","srp","sr","srp","140","Serbian"
"bTWjr","sna","sn","sna","141","Shona"
"bTWjv","iii","ii","iii","142","Sichuan Yi"
"bTWjw","snd","sd","snd","143","Sindhi"
"bTWjx","sin","si","sin","144","Sinhala"
"bTWkB","slo","sk","slo","145","Slovak"
"bTWkC","slv","sl","slv","146","Slovenian"
"bTWkD","som","so","som","147","Somali"
"bTWkH","sot","st","sot","148","Sotho"
"bTWkI","spa","es","spa","149","Spanish"
"bTWkJ","sun","su","sun","150","Sundanese"
"bTWkN","swa","sw","swa","151","Swahili"
"bTWkO","ssw","ss","ssw","152","Swati"
"bTWkP","swe","sv","swe","153","Swedish"
"bTWkT","tgl","tl","tgl","154","Tagalog"
"bTWkU","tah","ty","tah","155","Tahitian"
"bTWkV","tgk","tg","tgk","156","Tajik"
"bTWkZ","tam","ta","tam","157","Tamil"
"bTWka","tat","tt","tat","158","Tatar"
"bTWkb","tel","te","tel","159","Telugu"
"bTWkf","tha","th","tha","160","Thai"
"bTWkg","tib","bo","tib","161","Tibetan"
"bTWkh","tir","ti","tir","162","Tigrinya"
"bTWkl","ton","to","ton","163","Tonga"
"bTWkm","tso","ts","tso","164","Tsonga"
"bTWkn","tsn","tn","tsn","165","Tswana"
"bTWkr","tur","tr","tur","166","Turkish"
"bTWks","tuk","tk","tuk","167","Turkmen"
"bTWkt","twi","tw","twi","168","Twi"
"bTWkx","uig","ug","uig","169","Uighur"
"bTWky","ukr","uk","ukr","170","Ukrainian"
"bTWkz","urd","ur","urd","171","Urdu"
"bTWlD","uzb","uz","uzb","172","Uzbek"
"bTWlE","ven","ve","ven","173","Venda"
"bTWlF","vie","vi","vie","174","Vietnamese"
"bTWlJ","vol","vo","vol","175","Volapük"
"bTWlK","wln","wa","wln","176","Walloon"
"bTWlL","wel","cy","wel","177","Welsh"
"bTWlP","fry","fy","fry","178","Western Frisian"
"bTWlQ","wol","wo","wol","179","Wolof"
"bTWlR","xho","xh","xho","180","Xhosa"
"bTWlV","yid","yi","yid","181","Yiddish"
"bTWlW","yor","yo","yor","182","Yoruba"
"bTWlX","zha","za","zha","183","Zhuang"
"bTWlb","zul","zu","zul","184","Zulu"
