ID,display,focus,db_value,sort_factor
"bTOre","Starred","starred","starred","2"
"bTOrf","Normal+Starred","standard|starred","standard","1"
"bTOrj","Archived","archived","archived","3"
"bTOrk","All","standard|starred|archived","all","4"
"bTXzi","Normal","standard","normal","5"
