id;ison;symbol;long_name;short_name;symbol_unique;symbol_alternative;;;;;;
ILS;376;₪;New Israeli Sheqel;sheqel;₪;;;;;;;
TWD;901;NT$;New Taiwan dollar;dollar;NT$;;;;;;;
NZD;554;$;New Zealand Dollar;dollar;$NZ;;;;;;;
BTN;64;Nu;Ngultrum;ngultrum;Nu;;;;;;;
KPW;408;₩;North Korean won;won;₩NK;;;;;;;
NOK;578;kr;Norwegian krone;krone;krNO;;;;;;;
MRU;929;UM;Ouguiya;ouguiya;UM;;;;;;;
TOP;776;T$;"Pa""anga";"pa""anga";T$;;;;;;;
PKR;586;₨;Pakistan Rupee;rupee;PRs;;;;;;;
MOP;446;MOP$;Pataca;pataca;MOP$;;;;;;;
UYU;858;$U;Peso Uruguayo;uruguayo;$U;;;;;;;
PHP;608;₱;Philippine peso;peso;₱PH;;;;;;;
GBP;826;£;Pound Sterling;sterling;£GB;;;;;;;
BWP;72;P;Pula;pula;P;;;;;;;
QAR;634;﷼;Qatari Rial;rial;﷼QA;;;;;;;
GTQ;320;Q;Quetzal;quetzal;Q;;;;;;;
ZAR;710;R;Rand;rand;R;;;;;;;
OMR;512;﷼;Rial Omani;omani;﷼OM;;;;;;;
KHR;116;៛;Riel;riel;៛;;;;;;;
RON;946;lei;Romanian leu;leu;lei;;;;;id;PLN;CNY
MVR;462;Rf;Rufiyaa;rufiyaa;Rf;;;;;ison;985;156
IDR;360;Rp;Rupiah;rupiah;Rp;;;;;symbol;zł;¥
RUB;643;₽;Russian ruble;ruble;₽;;;;;long_name;Polish Złoty;Chinese Yuan
RWF;646;Fr;Rwanda Franc;franc;FrRW;;;;;short_name;Złoty;Yuan
SHP;654;£;Saint Helena Pound;pound;£SH;;;;;symbol_unique;zł;¥
SAR;682;﷼;Saudi riyal;riyal;﷼SA;;;;;symbol_alternative;PLN;CN¥
SLE;925;Le;Second Leone;leone;Le(SLE);;;;;;;
RSD;941;Дин.;Serbian dinar;dinar;Дин.;;;;;;;
SCR;690;₨;Seychelles Rupee;rupee;SRs;;;;;;;
SGD;702;$;Singapore Dollar;dollar;$S;;;;;;;
PEN;604;S/.;Sol;sol;S/.;;;;;;;
SBD;90;$;Solomon Islands Dollar;dollar;$SI;;;;;;;
KGS;417;som;Som;som;лвKGS;лв;;;;;;
SOS;706;S;Somali shilling;shilling;Sh.So.;;;;;;;
TJS;972;SM;Somoni;somoni;SM;;;;;;;
SSP;728;£;South Sudanese Pound;pound;£SSP;;;;;;;
LKR;144;රු;Sri Lanka Rupee;rupee;SLRs;₨;;;;;;
SDG;938;LS;Sudanese Pound;pound;LS;;;;;;;
SRD;968;$;Surinam Dollar;dollar;$SR;;;;;;;
SEK;752;kr;Swedish krona;krona;krSE;;;;;;;
CHF;756;CHF;Swiss franc;franc;CHF;;;;;;;
SYP;760;£;Syrian pound;pound;£SY;LS;;;;;;
BDT;50;৳;Taka;taka;৳;;;;;;;
WST;882;$;Tala;tala;WS$;;;;;;;
TZS;834;Sh;Tanzanian Shilling;shilling;TSh;;;;;;;
KZT;398;лв;Tenge;tenge;лвKZT;;;;;;;
TTD;780;TT$;Trinidad and Tobago Dollar;dollar;TT$;;;;;;;
MNT;496;₮;Tugrik;tugrik;₮;;;;;;;
TND;788;DT;Tunisian Dinar;dinar;DT;;;;;;;
TRY;949;₺;Turkish lira;lira;₺;;;;;;;
TMT;934;m;Turkmenistan New Manat;manat;m;;;;;;;
TVD;;$;Tuvalu Dollar;dollar;$TV;;;;;;;
AED;784;Dh;UAE Dirham;dirham;Dh(UAE);د.إ;;;;;;
UGX;800;Sh;Uganda Shilling;shilling;USh;;;;;;;
USD;840;$;US Dollar;dollar;$US;;;;;;;
UZS;860;soum;Uzbekistan Sum;sum;лвUZS;лв;;;;;;
VUV;548;VT;Vatu;vatu;VT;;;;;;;
VEF;;Bs;Venezuela Bolívar;bolívar;Bs;;;;;;;
KRW;410;₩;Won;won;₩SK;;;;;;;
YER;886;﷼;Yemeni rial;rial;﷼YE;;;;;;;
JPY;392;¥;Yen;yen;¥JP;;;;;;;
ZMW;967;K;Zambian Kwacha;kwacha;ZK;;;;;;;
ZWL;932;Z$;Zimbabwe Dollar;dollar;Z$;;;;;;;
PLN;985;zł;Polish Złoty;Złoty;zł;PLN;;;;;;
CNY;156;¥;Chinese Yuan;Yuan;¥;CN¥;;;;;;
